team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
RSC Anderlecht,RSC Anderlecht,2024/2025,Belgium,28,14,14,0,14,7,7,6,3,3,8,4,4,1.71,1.71,1.71,4,7,1,4,47,25,22,72,42,30,27,20,15,10,12,10,54,47,63,101,84,127,13,6,7,10,5,5,8,4,4,15,8,7,150,80,70,51,20,31,57,59,55,308,175,133,160,90,70,148,85,63,275,123,152,19,13,6,14,8,6,5,5,0,9,5,4,12,6,6,7,3,4,1.39,1.5,1.29,2.57,3,2.14,1.68,1.93,1.43,0.89,1.07,0.71,1.18,1.5,0.86,0.68,0.93,0.43,0.5,0.57,0.43,25,22,13,7,4,1,13,12,8,5,3,1,12,10,5,2,1,0,3,6,15,21,24,27,1,2,6,9,11,13,2,4,9,12,13,14,89,79,46,25,14,4,93,86,57,36,21,7,86,71,36,14,7,0,11,21,54,75,86,96,7,14,43,64,79,93,14,29,64,86,93,100,20,10,3,11,8,2,9,2,1,71,36,11,79,57,14,64,14,7,50,50,50,-3,46,43,50,36,36,36,29,29,29,54,57,50,15,7,8,54,50,57,15,6,9,54,43,64,6,4,2,21,29,14,32,36,29,43,43,43,25,21,29,5.36,5.71,5.00,1.82,1.43,2.21,93,82,71,50,43,32,25,14,1.50,1.65,1.34,1.46,1.25,1.66,57,2,1,8,3,7,2,7,5,12,5,0,3,4,3,2,2,4,2,21,21,21,29,29,29,11
Club Brugge KV,Club Brugge,2024/2025,Belgium,28,14,14,0,15,9,6,8,3,5,5,2,3,1.89,2.14,1.64,2,2,3,2,58,33,25,91,50,41,34,24,16,17,18,7,43,37,53,76,79,74,8,5,3,19,9,10,1,0,1,20,10,10,171,89,82,39,15,24,59,62,57,400,217,183,209,113,96,191,104,87,247,118,129,27,14,13,10,5,5,17,9,8,16,7,9,9,6,3,3,1,2,2.04,1.93,2.14,3.25,3.57,2.93,2.07,2.43,1.71,1.18,1.14,1.21,1.32,1.36,1.29,0.96,1,0.93,0.36,0.36,0.36,28,24,18,9,6,4,14,12,8,5,5,4,14,12,10,4,1,0,0,4,10,19,22,24,0,2,6,9,9,10,0,2,4,10,13,14,100,86,64,32,21,14,100,86,57,36,36,29,100,86,71,29,7,0,0,14,36,68,79,86,0,14,43,64,64,71,0,14,29,71,93,100,20,12,5,9,7,3,11,5,2,71,43,18,64,50,21,79,36,14,54,64,43,10,29,36,21,68,64,71,4,0,7,71,71,71,20,10,10,71,71,71,11,6,5,39,43,36,5,3,2,18,21,14,57,50,64,32,43,21,11,7,14,6.11,6.36,5.86,1.39,1.07,1.71,82,79,75,54,39,36,36,11,1.86,2.06,1.67,1.24,1.09,1.37,89,6,6,6,3,8,7,3,7,12,1,2,1,1,7,5,5,2,9,29,21,36,18,14,21,11
KAA Gent,KAA Gent,2024/2025,Belgium,28,14,14,0,10,7,3,12,4,8,6,3,3,1.5,1.79,1.21,6,5,6,6,39,31,8,70,40,30,26,13,14,17,12,-4,65,48,97,81,90,74,12,5,7,13,8,5,8,1,7,12,8,4,138,81,57,61,24,37,52,51,53,324,180,144,152,86,66,172,94,78,317,166,151,19,14,5,12,7,5,7,7,0,9,7,2,14,3,11,5,4,1,1.46,1.71,1.21,2.5,2.86,2.14,1.39,1.86,0.93,1.11,1,1.21,1.11,1.5,0.71,0.68,1,0.36,0.43,0.5,0.36,23,19,11,8,6,3,14,13,6,4,3,0,9,6,5,4,3,3,5,9,17,20,22,25,0,1,8,10,11,14,5,8,9,10,11,11,82,68,39,29,21,11,100,93,43,29,21,0,64,43,36,29,21,21,18,32,61,71,79,89,0,7,57,71,79,100,36,57,64,71,79,79,18,10,2,13,6,1,5,4,1,64,36,7,93,43,7,36,29,7,36,50,21,22,43,36,50,46,57,36,29,7,50,43,57,29,18,7,11,64,50,79,15,5,10,54,36,71,5,3,2,18,21,14,32,50,14,50,21,79,18,29,7,4.93,5.79,4.07,2.18,1.71,2.64,89,79,68,64,64,46,32,18,1.46,1.61,1.31,1.64,1.49,1.79,82,5,3,5,3,6,3,3,3,8,1,3,5,1,5,5,2,3,6,43,29,57,21,21,21,14
Royal Standard de Liège,Standard Liège,2024/2025,Belgium,28,14,14,0,10,7,3,8,3,5,10,4,6,1.36,1.71,1,7,8,9,7,22,32,-10,54,22,32,12,10,10,22,2,-12,114,105,127,79,127,57,11,7,4,10,5,5,12,4,8,11,8,3,106,58,48,49,16,33,41,42,40,257,140,117,117,67,50,140,73,67,302,135,167,10,6,4,11,2,9,-1,4,-5,6,4,2,15,8,7,7,2,5,1.18,1.43,0.93,1.93,1.57,2.29,0.79,0.86,0.71,1.14,0.71,1.57,0.75,0.57,0.93,0.36,0.43,0.29,0.39,0.14,0.64,23,16,10,2,2,1,12,6,4,0,0,0,11,10,6,2,2,1,5,12,18,26,26,27,2,8,10,14,14,14,3,4,8,12,12,13,82,57,36,7,7,4,86,43,29,0,0,0,79,71,43,14,14,7,18,43,64,93,93,96,14,57,71,100,100,100,21,29,57,86,86,93,14,6,1,6,2,0,8,4,1,50,21,4,43,14,0,57,29,7,36,50,21,24,39,50,29,36,36,36,43,29,57,39,57,21,20,12,8,71,86,57,20,10,10,71,71,71,2,0,2,7,0,14,21,29,14,54,57,50,25,14,36,3.79,4.14,3.43,1.75,1.14,2.36,86,79,75,56,43,32,28,14,1.16,1.24,1.07,1.65,1.50,1.79,18,3,0,0,3,5,1,5,1,4,4,1,1,3,3,3,7,1,9,29,21,36,36,29,43,7
Sporting du Pays de Charleroi,Sporting Charleroi,2024/2025,Belgium,28,14,14,0,10,6,4,7,4,3,11,4,7,1.32,1.57,1.07,8,9,7,8,34,31,3,65,29,36,18,16,11,20,7,-4,74,70,79,81,114,63,7,5,2,13,6,7,9,3,6,13,9,4,145,69,76,62,29,33,52,53,51,344,183,161,167,93,74,177,90,87,298,153,145,17,8,9,13,5,8,4,3,1,9,5,4,11,6,5,8,3,5,1.36,1.5,1.21,2.32,2.07,2.57,1.21,1.29,1.14,1.11,0.79,1.43,1.07,0.93,1.21,0.61,0.57,0.64,0.46,0.36,0.57,27,18,10,5,3,1,14,9,4,1,1,0,13,9,6,4,2,1,1,10,18,23,25,27,0,5,10,13,13,14,1,5,8,10,12,13,96,64,36,18,11,4,100,64,29,7,7,0,93,64,43,29,14,7,4,36,64,82,89,96,0,36,71,93,93,100,7,36,57,71,86,93,18,6,3,9,3,1,9,3,2,64,21,11,64,21,7,64,21,14,36,43,29,18,25,36,14,46,43,50,32,21,43,46,64,29,19,10,9,68,71,64,17,8,9,61,57,64,2,1,1,7,7,7,32,36,29,39,43,36,29,21,36,5.18,4.93,5.43,2.21,2.07,2.36,86,68,64,39,32,25,18,11,1.57,1.70,1.44,1.22,1.15,1.30,57,4,6,1,3,6,5,2,1,6,1,2,0,7,3,3,4,5,6,25,29,21,39,29,50,7
Sint-Truidense VV,Sint-Truiden,2024/2025,Belgium,28,14,14,0,6,4,2,10,7,3,12,3,9,1,1.36,0.64,14,13,14,14,37,53,-16,90,44,46,22,15,22,31,0,-16,68,57,84,48,57,41,3,2,1,21,11,10,5,2,3,9,6,3,141,83,58,60,25,35,47,48,47,304,177,127,140,79,61,164,98,66,271,131,140,15,11,4,28,12,16,-13,-1,-12,8,6,2,6,3,3,14,5,9,1.07,1.5,0.64,3.21,3.14,3.29,1.32,1.57,1.07,1.89,1.57,2.21,1.54,1.64,1.43,0.54,0.79,0.29,1,0.86,1.14,27,26,17,8,6,4,13,13,8,5,3,2,14,13,9,3,3,2,1,2,11,20,22,24,1,1,6,9,11,12,0,1,5,11,11,12,96,93,61,29,21,14,93,93,57,36,21,14,100,93,64,21,21,14,4,7,39,71,79,86,7,7,43,64,79,86,0,7,36,79,79,86,25,11,5,13,6,3,12,5,2,89,39,18,93,43,21,86,36,14,21,29,14,18,11,14,7,75,79,71,18,14,21,32,43,21,9,5,4,32,36,29,16,6,10,57,43,71,6,4,2,21,29,14,29,43,14,21,21,21,50,36,64,5.04,5.93,4.14,2.14,1.79,2.50,89,79,75,68,56,43,28,28,1.39,1.52,1.25,1.50,1.53,1.46,86,6,4,3,1,1,5,5,4,8,2,6,6,6,10,7,6,3,7,36,50,21,43,21,64,21
KRC Genk,KRC Genk,2024/2025,Belgium,28,14,14,0,19,12,7,5,2,3,4,0,4,2.21,2.71,1.71,1,1,2,1,52,32,20,84,36,48,28,24,8,24,20,0,48,45,53,79,158,53,11,9,2,15,5,10,4,2,2,16,8,8,145,75,70,46,20,26,59,61,58,387,200,187,188,93,95,199,107,92,271,124,147,24,10,14,16,4,12,8,6,2,12,6,6,11,7,4,5,1,4,1.68,1.79,1.57,3,2.57,3.43,1.86,2,1.71,1.14,0.57,1.71,1.43,1,1.86,0.86,0.71,1,0.57,0.29,0.86,26,24,17,10,5,1,12,10,7,4,3,0,14,14,10,6,2,1,2,4,11,18,23,27,2,4,7,10,11,14,0,0,4,8,12,13,93,86,61,36,18,4,86,71,50,29,21,0,100,100,71,43,14,7,7,14,39,64,82,96,14,29,50,71,79,100,0,0,29,57,86,93,19,11,7,8,3,2,11,8,5,68,39,25,57,21,14,79,57,36,68,86,50,29,39,64,14,54,36,71,14,14,14,57,57,57,17,10,7,61,71,50,12,7,5,43,50,36,8,3,5,29,21,36,43,43,43,39,50,29,18,7,29,5.18,5.36,5.00,1.64,1.43,1.86,89,71,61,46,36,28,11,7,1.72,1.77,1.67,1.26,1.15,1.35,79,2,7,7,5,6,5,4,6,10,6,4,1,3,2,4,3,2,7,18,14,21,14,0,29,4
KVC Westerlo,KVC Westerlo,2024/2025,Belgium,28,14,14,0,8,5,3,7,4,3,13,5,8,1.11,1.36,0.86,13,12,11,13,46,48,-2,94,50,44,28,18,22,26,6,-8,55,45,70,53,57,48,4,3,1,20,11,9,5,0,5,9,6,3,160,97,63,81,35,46,48,50,46,379,204,175,199,105,94,180,99,81,276,119,157,22,13,9,24,12,12,-2,1,-3,9,5,4,9,5,4,10,4,6,1.29,1.43,1.14,3.36,3.57,3.14,1.64,2,1.29,1.71,1.57,1.86,1.64,1.79,1.5,0.79,0.93,0.64,0.86,0.86,0.86,27,24,19,12,6,4,14,14,11,6,2,2,13,10,8,6,4,2,1,4,9,16,22,24,0,0,3,8,12,12,1,4,6,8,10,12,96,86,68,43,21,14,100,100,79,43,14,14,93,71,57,43,29,14,4,14,32,57,79,86,0,0,21,57,86,86,7,29,43,57,71,86,24,14,6,13,8,3,11,6,3,86,50,21,93,57,21,79,43,21,29,36,21,15,14,21,7,71,79,64,18,0,36,32,43,21,10,4,6,36,29,43,11,4,7,39,29,50,11,7,4,39,50,29,32,36,29,32,36,29,36,29,43,5.71,6.93,4.50,2.89,2.5,3.29,93,86,82,64,61,39,32,21,1.73,1.88,1.58,1.53,1.33,1.72,86,1,7,2,7,7,5,5,5,7,6,4,7,4,4,3,7,2,11,25,29,21,46,36,57,14
KV Kortrijk,KV Kortrijk,2024/2025,Belgium,28,14,14,0,5,4,1,5,2,3,18,8,10,0.71,1,0.43,15,16,15,15,24,54,-30,78,32,46,12,12,20,34,-8,-22,105,105,105,47,63,37,2,2,0,15,7,8,11,5,6,10,5,5,150,85,65,63,32,31,42,43,41,274,143,131,123,68,55,151,75,76,286,151,135,11,6,5,22,9,13,-11,-3,-8,4,4,0,11,4,7,13,6,7,0.82,1.14,0.5,2.79,2.29,3.29,0.86,0.86,0.86,1.93,1.43,2.43,1.18,1.07,1.29,0.39,0.43,0.36,0.79,0.64,0.93,28,22,17,7,3,1,14,10,7,1,0,0,14,12,10,6,3,1,0,6,11,21,25,27,0,4,7,13,14,14,0,2,4,8,11,13,100,79,61,25,11,4,100,71,50,7,0,0,100,86,71,43,21,7,0,21,39,75,89,96,0,29,50,93,100,100,0,14,29,57,79,93,20,9,4,10,3,2,10,6,2,71,32,14,71,21,14,71,43,14,18,29,7,13,7,14,0,54,50,57,39,36,43,36,36,36,11,7,4,39,50,29,19,10,9,68,71,64,6,1,5,21,7,36,14,29,0,39,29,50,46,43,50,5.36,6.07,4.64,2.25,2.29,2.21,86,79,71,54,54,43,28,18,1.29,1.36,1.22,1.57,1.42,1.71,75,1,4,3,1,3,4,4,0,4,5,6,2,3,12,5,8,4,9,18,14,21,64,57,71,7
YR KV Mechelen,KV Mechelen,2024/2025,Belgium,28,14,14,0,8,5,3,8,5,3,12,4,8,1.14,1.43,0.86,10,11,10,10,42,39,3,81,48,33,29,13,19,20,10,-7,60,43,97,65,66,63,8,5,3,16,9,7,6,1,5,14,9,5,143,71,72,60,30,30,54,53,54,324,162,162,171,92,79,153,70,83,295,148,147,15,12,3,22,12,10,-7,0,-7,9,6,3,6,2,4,13,6,7,1.18,1.43,0.93,2.89,3.43,2.36,1.5,2.07,0.93,1.39,1.36,1.43,1.32,1.71,0.93,0.54,0.86,0.21,0.79,0.86,0.71,26,21,14,8,6,4,13,13,9,5,4,3,13,8,5,3,2,1,2,7,14,20,22,24,1,1,5,9,10,11,1,6,9,11,12,13,93,75,50,29,21,14,93,93,64,36,29,21,93,57,36,21,14,7,7,25,50,71,79,86,7,7,36,64,71,79,7,43,64,79,86,93,23,9,3,13,6,3,10,3,0,82,32,11,93,43,21,71,21,0,29,36,21,20,29,36,21,57,64,50,21,7,36,50,64,36,13,6,7,46,43,50,16,5,11,57,36,79,4,4,0,14,29,0,32,43,21,21,14,29,46,43,50,5.11,5.07,5.14,2.14,2.14,2.14,86,75,71,54,46,36,25,18,1.51,1.50,1.52,1.49,1.30,1.67,64,1,4,2,3,8,7,2,5,10,3,3,4,5,7,2,1,3,11,29,36,21,43,29,57,11
Oud-Heverlee Leuven,OH Leuven,2024/2025,Belgium,28,14,14,0,7,6,1,13,7,6,8,1,7,1.21,1.79,0.64,9,6,13,9,25,29,-4,54,24,30,16,9,8,21,8,-12,101,79,141,87,158,60,9,7,2,12,6,6,11,4,7,7,5,2,135,72,63,74,34,40,48,48,48,277,150,127,121,58,63,156,92,64,346,168,178,12,7,5,16,5,11,-4,2,-6,4,3,1,16,9,7,8,2,6,1,1.29,0.71,1.93,1.71,2.14,0.89,1.14,0.64,1.04,0.57,1.5,1,0.86,1.14,0.43,0.5,0.36,0.57,0.36,0.79,24,18,6,4,2,0,11,8,2,2,1,0,13,10,4,2,1,0,4,10,22,24,26,28,3,6,12,12,13,14,1,4,10,12,13,14,86,64,21,14,7,0,79,57,14,14,7,0,93,71,29,14,7,0,14,36,79,86,93,100,21,43,86,86,93,100,7,29,71,86,93,100,17,10,1,7,4,1,10,6,0,61,36,4,50,29,7,71,43,0,25,43,7,37,32,50,14,43,43,43,39,29,50,25,36,14,15,10,5,54,71,36,18,8,10,64,57,71,6,3,3,21,21,21,14,21,7,57,64,50,29,14,43,4.82,5.14,4.50,2.64,2.43,2.86,96,93,71,64,50,32,28,14,1.24,1.28,1.19,1.56,1.60,1.52,50,1,1,3,4,3,2,4,1,6,2,7,0,4,5,4,1,2,4,46,50,43,29,7,50,7
