team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
BVB 09 Borussia Dortmund,Borussia Dortmund,2024/2025,Germany,26,13,13,0,10,7,3,5,3,2,11,3,8,1.35,1.85,0.85,11,5,14,11,45,41,4,86,47,39,31,14,16,25,15,-11,52,38,83,57,73,47,5,3,2,17,9,8,5,1,4,13,8,5,154,86,68,68,29,39,61,61,62,328,165,163,141,79,62,187,86,101,243,127,116,19,13,6,22,8,14,-3,5,-8,8,6,2,8,4,4,10,3,7,1.23,1.69,0.77,3.31,3.62,3,1.73,2.38,1.08,1.58,1.23,1.92,1.58,1.62,1.54,0.73,1,0.46,0.85,0.62,1.08,25,24,16,10,6,5,13,12,9,6,4,3,12,12,7,4,2,2,1,2,10,16,20,21,0,1,4,7,9,10,1,1,6,9,11,11,96,92,62,38,23,19,100,92,69,46,31,23,92,92,54,31,15,15,4,8,38,62,77,81,0,8,31,54,69,77,8,8,46,69,85,85,20,13,6,10,6,3,10,7,3,77,50,23,77,46,23,77,54,23,38,54,23,30,19,23,15,65,69,62,19,8,31,50,62,38,13,8,5,50,62,38,13,4,9,50,31,69,6,4,2,23,31,15,31,46,15,31,31,31,38,23,54,5.92,6.62,5.23,2.62,2.23,3.00,88,81,62,54,38,27,19,15,1.58,1.64,1.52,1.25,1.03,1.47,104,2,3,7,4,5,2,6,9,7,3,4,7,5,6,2,4,5,5,19,23,15,42,23,62,8
1. FSV Mainz 05,Mainz 05,2024/2025,Germany,26,13,13,0,13,6,7,6,4,2,7,3,4,1.73,1.69,1.77,3,7,3,3,44,28,16,72,30,42,18,26,12,16,6,10,53,65,45,83,98,73,9,5,4,13,6,7,6,3,3,16,9,7,117,73,44,64,32,32,49,51,47,266,136,130,140,73,67,126,63,63,307,149,158,23,9,14,13,5,8,10,4,6,13,6,7,7,5,2,6,2,4,1.77,1.77,1.77,2.77,2.31,3.23,1.69,1.38,2,1.08,0.92,1.23,1.38,1.08,1.69,0.88,0.69,1.08,0.5,0.38,0.62,24,22,13,7,3,2,12,12,4,2,0,0,12,10,9,5,3,2,2,4,13,19,23,24,1,1,9,11,13,13,1,3,4,8,10,11,92,85,50,27,12,8,92,92,31,15,0,0,92,77,69,38,23,15,8,15,50,73,88,92,8,8,69,85,100,100,8,23,31,62,77,85,20,11,5,9,4,1,11,7,4,77,42,19,69,31,8,85,54,31,50,46,54,-2,35,38,31,50,46,54,23,23,23,62,69,54,16,9,7,62,69,54,10,6,4,38,46,31,6,2,4,23,15,31,50,46,54,27,38,15,23,15,31,4.50,5.62,3.38,2.46,2.46,2.46,77,73,54,54,54,35,23,15,1.35,1.43,1.27,1.49,1.25,1.73,58,3,6,6,5,6,8,5,2,3,4,5,2,2,1,4,1,4,5,23,31,15,27,23,31,12
SV Werder Bremen,Werder Bremen,2024/2025,Germany,26,13,13,0,9,3,6,6,4,2,11,6,5,1.27,1,1.54,12,13,7,12,40,53,-13,93,44,49,18,22,26,27,-8,-5,58,65,53,44,45,43,5,2,3,15,8,7,7,4,3,11,6,5,125,68,57,60,30,30,50,51,48,281,163,118,123,62,61,158,101,57,263,127,136,19,10,9,29,13,16,-10,-3,-7,5,3,2,10,5,5,11,5,6,0.96,1.08,0.85,3.58,3.38,3.77,1.54,1.38,1.69,2.04,2,2.08,1.85,1.77,1.92,0.73,0.77,0.69,1.12,1,1.23,25,21,18,14,9,5,12,10,9,7,4,2,13,11,9,7,5,3,1,5,8,12,17,21,1,3,4,6,9,11,0,2,4,6,8,10,96,81,69,54,35,19,92,77,69,54,31,15,100,85,69,54,38,23,4,19,31,46,65,81,8,23,31,46,69,85,0,15,31,46,62,77,22,14,7,11,7,3,11,7,4,85,54,27,85,54,23,85,54,31,35,23,46,-4,19,15,23,58,62,54,27,31,23,42,46,38,8,4,4,31,31,31,12,6,6,46,46,46,10,5,5,38,38,38,19,23,15,38,38,38,42,38,46,4.81,5.23,4.38,2.31,2.31,2.31,81,77,62,54,38,27,23,12,1.37,1.51,1.22,1.52,1.43,1.61,96,5,4,4,3,4,5,3,6,6,5,7,9,4,8,5,4,4,7,23,31,15,42,46,38,0
FC Bayern München,Bayern München,2024/2025,Germany,26,13,13,0,19,11,8,5,1,4,2,1,1,2.38,2.62,2.15,1,1,2,1,75,24,51,99,55,44,43,32,12,12,31,20,31,27,37,98,98,98,12,7,5,14,6,8,1,0,1,21,12,9,182,95,87,42,16,26,69,71,67,419,253,166,225,126,99,194,127,67,226,103,123,32,18,14,9,4,5,23,14,9,15,9,6,9,4,5,2,0,2,2.08,2.38,1.77,3.81,4.23,3.38,2.88,3.31,2.46,0.92,0.92,0.92,1.58,1.69,1.46,1.23,1.38,1.08,0.35,0.31,0.38,25,23,19,14,11,5,13,13,11,8,6,3,12,10,8,6,5,2,1,3,7,12,15,21,0,0,2,5,7,10,1,3,5,7,8,11,96,88,73,54,42,19,100,100,85,62,46,23,92,77,62,46,38,15,4,12,27,46,58,81,0,0,15,38,54,77,8,23,38,54,62,85,20,12,6,10,7,4,10,5,2,77,46,23,77,54,31,77,38,15,73,85,62,0,46,54,38,54,46,62,4,0,8,81,92,69,18,9,9,69,69,69,8,3,5,31,23,38,6,4,2,23,31,15,58,69,46,35,31,38,8,0,15,7.00,7.31,6.69,1.62,1.23,2.00,73,65,46,42,35,27,19,15,2.15,2.48,1.81,0.80,0.72,0.88,104,4,11,6,6,7,11,10,6,14,1,0,3,4,3,3,2,1,7,19,8,31,8,8,8,8
Borussia VfL Mönchengladbach,Borussia M'gladbach,2024/2025,Germany,26,13,13,0,12,6,6,4,2,2,10,5,5,1.54,1.54,1.54,7,10,6,7,43,40,3,83,42,41,23,20,19,21,4,-1,55,51,58,58,62,56,6,3,3,17,8,9,4,2,2,12,6,6,117,64,53,47,27,20,51,51,52,297,156,141,157,78,79,140,78,62,276,138,138,20,12,8,14,7,7,6,5,1,8,4,4,11,7,4,7,2,5,1.35,1.46,1.23,3.19,3.23,3.15,1.65,1.77,1.54,1.54,1.46,1.62,1.31,1.46,1.15,0.77,0.92,0.62,0.54,0.54,0.54,25,23,17,10,6,2,13,11,8,6,4,0,12,12,9,4,2,2,1,3,9,16,20,24,0,2,5,7,9,13,1,1,4,9,11,11,96,88,65,38,23,8,100,85,62,46,31,0,92,92,69,31,15,15,4,12,35,62,77,92,0,15,38,54,69,100,8,8,31,69,85,85,19,10,3,9,7,2,10,3,1,73,38,12,69,54,15,77,23,8,46,46,46,6,23,23,23,65,62,69,15,15,15,46,46,46,14,7,7,54,54,54,14,6,8,54,46,62,5,4,1,19,31,8,31,31,31,42,54,31,27,15,38,4.50,4.92,4.08,1.81,2.08,1.54,77,62,54,42,38,27,19,12,1.43,1.45,1.40,1.73,1.68,1.79,96,4,4,8,1,4,4,5,6,7,1,2,3,6,5,5,9,6,3,15,15,15,38,38,38,4
Bayer 04 Leverkusen,Bayer Leverkusen,2024/2025,Germany,27,14,13,0,17,9,8,8,3,5,2,2,0,2.19,2.14,2.23,2,2,1,2,62,34,28,96,50,46,32,30,18,16,14,14,39,39,39,71,70,73,6,3,3,20,10,10,4,3,1,19,8,11,186,108,78,48,28,20,59,64,54,381,214,167,189,108,81,192,106,86,247,128,119,36,16,20,17,10,7,19,6,13,15,6,9,9,6,3,3,2,1,2,1.71,2.31,3.56,3.57,3.54,2.3,2.29,2.31,1.26,1.29,1.23,1.96,1.86,2.08,1.33,1.14,1.54,0.63,0.71,0.54,24,23,18,15,9,4,12,11,10,8,4,3,12,12,8,7,5,1,3,4,9,12,18,23,2,3,4,6,10,11,1,1,5,6,8,12,89,85,67,56,33,15,86,79,71,57,29,21,92,92,62,54,38,8,11,15,33,44,67,85,14,21,29,43,71,79,8,8,38,46,62,92,23,17,8,11,8,4,12,9,4,85,63,30,79,57,29,92,69,31,63,64,62,-1,22,21,23,74,71,77,15,21,8,70,57,85,13,7,6,48,50,46,6,4,2,22,29,15,12,6,6,44,43,46,56,43,69,33,43,23,11,14,8,6.89,7.71,6.00,1.78,2,1.54,74,67,56,56,48,37,26,15,1.84,2.03,1.65,1.17,1.03,1.31,100,7,10,7,9,5,5,4,9,6,3,3,3,4,5,3,3,3,7,30,21,38,7,14,0,15
SC Freiburg,Freiburg,2024/2025,Germany,26,12,14,0,12,8,4,6,2,4,8,2,6,1.62,2.17,1.14,6,3,11,6,36,38,-2,74,37,37,24,12,13,25,11,-13,65,45,105,62,83,50,10,4,6,12,7,5,8,3,5,13,6,7,103,57,46,44,24,20,48,50,46,277,137,140,141,76,65,136,61,75,233,111,122,14,11,3,14,5,9,0,6,-6,8,6,2,10,3,7,8,3,5,1.31,1.75,0.93,2.85,3.08,2.64,1.38,2,0.86,1.46,1.08,1.79,1.08,1.33,0.86,0.54,0.92,0.21,0.54,0.42,0.64,22,18,16,12,5,1,10,9,9,6,3,0,12,9,7,6,2,1,4,8,10,14,21,25,2,3,3,6,9,12,2,5,7,8,12,13,85,69,62,46,19,4,83,75,75,50,25,0,86,64,50,43,14,7,15,31,38,54,81,96,17,25,25,50,75,100,14,36,50,57,86,93,18,8,2,10,5,1,8,3,1,69,31,8,83,42,8,57,21,7,46,67,29,36,38,33,43,46,58,36,31,25,36,50,50,50,16,8,8,62,67,57,16,5,11,62,42,79,2,1,1,8,8,7,31,50,14,38,25,50,31,25,36,3.96,4.75,3.29,1.69,2,1.43,69,57,46,31,23,15,4,4,1.35,1.46,1.25,1.49,1.32,1.63,92,0,2,3,6,4,8,7,4,2,3,3,0,3,6,3,5,11,4,23,17,29,31,17,43,4
VfL Wolfsburg,Wolfsburg,2024/2025,Germany,26,13,13,0,10,3,7,8,6,2,8,4,4,1.46,1.15,1.77,8,12,4,8,49,40,9,89,46,43,23,26,23,17,0,9,48,51,45,58,51,69,5,2,3,20,11,9,3,1,2,12,4,8,123,66,57,67,27,40,45,50,41,298,161,137,139,73,66,159,88,71,270,122,148,19,4,15,17,12,5,2,-8,10,8,1,7,9,5,4,9,7,2,1.27,0.62,1.92,3.42,3.54,3.31,1.88,1.77,2,1.54,1.77,1.31,1.38,1.23,1.54,0.73,0.31,1.15,0.65,0.92,0.38,24,21,16,13,8,5,12,11,8,7,4,3,12,10,8,6,4,2,2,5,10,13,18,21,1,2,5,6,9,10,1,3,5,7,9,11,92,81,62,50,31,19,92,85,62,54,31,23,92,77,62,46,31,15,8,19,38,50,69,81,8,15,38,46,69,77,8,23,38,54,69,85,19,10,5,10,4,2,9,6,3,73,38,19,77,31,15,69,46,23,38,23,54,-11,19,15,23,77,85,69,12,8,15,46,31,62,14,4,10,54,31,77,14,9,5,54,69,38,5,3,2,19,23,15,31,8,54,35,38,31,35,54,15,4.73,5.08,4.38,2.58,2.08,3.08,92,92,65,57,42,35,19,4,1.40,1.52,1.27,1.52,1.34,1.70,123,6,4,5,2,6,5,3,6,12,0,5,4,6,4,3,6,4,8,31,46,15,31,31,31,0
Eintracht Frankfurt,Eintracht Frankfurt,2024/2025,Germany,26,13,13,0,13,7,6,6,3,3,7,3,4,1.73,1.85,1.62,4,6,5,4,54,40,14,94,51,43,31,23,20,20,11,3,43,38,51,58,58,58,5,3,2,19,10,9,2,0,2,17,8,9,123,69,54,41,16,25,50,53,47,351,195,156,172,88,84,179,107,72,257,138,119,28,16,12,14,9,5,14,7,7,14,7,7,9,4,5,3,2,1,1.96,1.92,2,3.62,3.92,3.31,2.08,2.38,1.77,1.54,1.54,1.54,1.62,1.92,1.31,1.08,1.23,0.92,0.54,0.69,0.38,26,24,18,14,6,3,13,12,9,8,4,2,13,12,9,6,2,1,0,2,8,12,20,23,0,1,4,5,9,11,0,1,4,7,11,12,100,92,69,54,23,12,100,92,69,62,31,15,100,92,69,46,15,8,0,8,31,46,77,88,0,8,31,38,69,85,0,8,31,54,85,92,23,12,3,11,7,3,12,5,0,88,46,12,85,54,23,92,38,0,50,54,46,0,19,23,15,73,77,69,8,0,15,65,62,69,16,8,8,62,62,62,5,3,2,19,23,15,8,4,4,31,31,31,54,54,54,35,31,38,12,15,8,4.73,5.31,4.15,1.58,1.23,1.92,81,73,69,57,50,27,19,8,1.64,1.79,1.49,1.68,1.51,1.86,119,1,7,8,9,5,5,6,6,7,0,3,6,4,3,6,5,7,6,23,23,23,27,23,31,4
Rasen Ballsport Leipzig,RB Leipzig,2024/2025,Germany,26,13,13,0,11,7,4,9,4,5,6,2,4,1.62,1.92,1.31,5,4,8,5,41,33,8,74,39,35,24,17,15,18,9,-1,57,49,69,71,78,65,13,6,7,13,7,6,6,2,4,14,7,7,116,80,36,57,27,30,52,56,48,281,157,124,143,84,59,138,73,65,282,130,152,23,11,12,17,10,7,6,1,5,10,5,5,10,4,6,6,4,2,1.54,1.46,1.62,2.85,3,2.69,1.58,1.85,1.31,1.27,1.15,1.38,1.54,1.62,1.46,0.88,0.85,0.92,0.65,0.77,0.54,20,18,14,10,6,5,11,10,8,6,2,2,9,8,6,4,4,3,6,8,12,16,20,21,2,3,5,7,11,11,4,5,7,9,9,10,77,69,54,38,23,19,85,77,62,46,15,15,69,62,46,31,31,23,23,31,46,62,77,81,15,23,38,54,85,85,31,38,54,69,69,77,18,13,8,10,7,4,8,6,4,69,50,31,77,54,31,62,46,31,42,54,31,13,50,46,54,50,54,46,23,15,31,54,54,54,16,7,9,62,54,69,10,5,5,38,38,38,8,4,4,31,31,31,38,38,38,38,31,46,23,31,15,4.46,6.15,2.77,2.19,2.08,2.31,77,69,57,42,35,27,19,12,1.35,1.53,1.18,1.54,1.35,1.72,96,4,9,4,3,7,6,3,2,3,4,5,3,4,4,4,3,2,4,35,31,38,23,15,31,12
