team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2024/2025,Finland,6,3,3,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,54,2,13,-11,15,9,6,2,0,7,6,-5,-6,273,134,0,41,39,45,0,0,0,2,2,0,4,1,3,1,1,0,19,10,9,6,3,3,43,43,44,38,21,17,16,8,8,22,13,9,52,27,25,1,1,0,4,1,3,-3,0,-3,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,2.5,3,2,0.33,0.67,0,2.17,2.33,2,0.83,0.67,1,0.17,0.33,0,0.67,0.33,1,6,5,3,1,0,0,3,3,2,1,0,0,3,2,1,0,0,0,0,1,3,5,6,6,0,0,1,2,3,3,0,1,2,3,3,3,100,83,50,17,0,0,100,100,67,33,0,0,100,67,33,0,0,0,0,17,50,83,100,100,0,0,33,67,100,100,0,33,67,100,100,100,4,1,0,2,0,0,2,1,0,67,17,0,67,0,0,67,33,0,0,0,0,48,0,0,0,33,67,0,67,33,100,17,33,0,3,2,1,50,67,33,5,2,3,83,67,100,0,0,0,0,0,0,17,33,0,33,33,33,50,33,67,3.17,3.33,3.00,1,1,1.00,83,83,67,50,33,17,0,0,0.87,0.93,0.81,1.72,1.77,1.66,50,0,1,0,0,0,0,0,0,1,0,1,1,1,1,4,0,3,2,0,0,0,100,100,100,0
Iceland National Team,Iceland,2024/2025,Iceland,6,3,3,0,2,1,1,1,1,0,3,1,2,1.17,1.33,1,0,0,0,30,10,13,-3,23,12,11,6,4,6,7,0,-3,54,45,68,41,45,39,2,1,1,4,2,2,0,0,0,4,2,2,22,15,7,17,7,10,40,40,41,61,36,25,31,19,12,30,17,13,76,45,31,4,2,2,5,2,3,-1,0,-1,2,2,0,2,0,2,2,1,1,1.33,2,0.67,3.83,4,3.67,1.67,2,1.33,2.17,2,2.33,1.5,1.33,1.67,0.67,0.67,0.67,0.83,0.67,1,6,6,4,4,2,1,3,3,2,2,1,1,3,3,2,2,1,0,0,0,2,2,4,5,0,0,1,1,2,2,0,0,1,1,2,3,100,100,67,67,33,17,100,100,67,67,33,33,100,100,67,67,33,0,0,0,33,33,67,83,0,0,33,33,67,67,0,0,33,33,67,100,5,3,1,3,1,0,2,2,1,83,50,17,100,33,0,67,67,33,33,33,33,14,33,33,33,67,67,67,0,0,0,67,67,67,3,2,1,50,67,33,2,1,1,33,33,33,2,0,2,33,0,67,33,67,0,33,0,67,33,33,33,3.67,5.00,2.33,2.83,2.33,3.33,67,67,67,33,17,0,0,0,1.24,1.48,1.00,1.65,1.58,1.72,117,2,0,0,2,0,1,1,2,2,1,1,1,1,1,1,3,1,3,17,33,0,50,33,67,0
Gibraltar National Team,Gibraltar,2024/2025,Gibraltar,4,2,2,0,1,1,0,3,1,2,0,0,0,1.5,2,1,2,0,0,37,4,3,1,7,5,2,3,1,2,1,1,0,90,60,180,120,90,180,2,1,1,2,1,1,1,0,1,3,2,1,15,11,4,21,12,9,44,47,41,35,24,11,15,9,6,20,15,5,48,25,23,2,1,1,0,0,0,2,1,1,2,1,1,2,1,1,0,0,0,2,2,2,1.75,2.5,1,1,1.5,0.5,0.75,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,3,2,1,1,0,0,2,1,1,1,0,0,1,1,0,0,0,0,1,2,3,3,4,4,0,1,1,1,2,2,1,1,2,2,2,2,75,50,25,25,0,0,100,50,50,50,0,0,50,50,0,0,0,0,25,50,75,75,100,100,0,50,50,50,100,100,50,50,100,100,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,25,50,0,9,50,50,50,50,50,50,25,0,50,75,100,50,4,2,2,100,100,100,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,3.75,5.50,2.00,5.25,6,4.50,50,25,25,25,25,25,25,0,1.03,1.29,0.77,1.06,1.05,1.07,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,2,75,50,100,0,0,0,0
Belarus National Team,Belarus,2024/2025,Belarus,6,3,3,0,1,0,1,4,3,1,1,0,1,1.17,1,1.33,3,0,0,28,3,4,-1,7,2,5,1,2,1,3,0,-1,180,273,134,134,273,90,3,2,1,2,1,1,3,2,1,2,1,1,26,13,13,18,7,11,41,39,43,42,22,20,25,13,12,17,9,8,107,49,58,0,0,0,1,0,1,-1,0,-1,0,0,0,5,3,2,1,0,1,0.83,1,0.67,1.17,0.67,1.67,0.5,0.33,0.67,0.67,0.33,1,0.17,0,0.33,0,0,0,0.17,0,0.33,4,3,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,2,3,6,6,6,6,2,2,3,3,3,3,0,1,3,3,3,3,67,50,0,0,0,0,33,33,0,0,0,0,100,67,0,0,0,0,33,50,100,100,100,100,67,67,100,100,100,100,0,33,100,100,100,100,1,0,0,0,0,0,1,0,0,17,0,0,0,0,0,33,0,0,17,0,33,9,50,67,33,33,33,33,50,67,33,33,33,33,5,3,2,83,100,67,6,3,3,100,100,100,0,0,0,0,0,0,0,0,0,83,100,67,17,0,33,4.33,4.33,4.33,3,2.33,3.67,83,67,50,50,17,0,0,0,0.97,0.99,0.95,1.45,1.73,1.18,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,67,100,33,17,0,33,0
Czech Republic National Team,Czech Republic,2024/2025,Czech Republic,6,3,3,0,3,3,0,2,0,2,1,0,1,1.83,3,0.67,0,0,0,17,9,8,1,17,10,7,7,2,3,5,4,-3,60,39,134,68,90,54,2,1,1,4,2,2,1,0,1,4,3,1,29,14,15,21,12,9,50,46,53,69,36,33,36,19,17,33,17,16,84,44,40,6,5,1,2,1,1,4,4,0,4,3,1,1,0,1,1,0,1,2.17,3,1.33,2.83,3.33,2.33,1.5,2.33,0.67,1.33,1,1.67,1.33,2,0.67,1,1.67,0.33,0.33,0.33,0.33,5,5,3,2,2,0,3,3,2,1,1,0,2,2,1,1,1,0,1,1,3,4,4,6,0,0,1,2,2,3,1,1,2,2,2,3,83,83,50,33,33,0,100,100,67,33,33,0,67,67,33,33,33,0,17,17,50,67,67,100,0,0,33,67,67,100,33,33,67,67,67,100,5,2,1,3,2,1,2,0,0,83,33,17,100,67,33,67,0,0,50,100,0,40,33,33,33,67,67,67,17,0,33,67,100,33,4,2,2,67,67,67,2,0,2,33,0,67,1,1,0,17,33,0,67,100,33,17,0,33,17,0,33,4.83,4.67,5.00,3.5,4,3.00,83,67,33,33,33,33,17,17,1.53,1.57,1.48,1.15,1.20,1.09,67,2,1,2,0,1,0,1,2,0,0,0,0,2,0,3,2,0,1,33,0,67,17,0,33,17
Montenegro National Team,Montenegro,2024/2025,Montenegro,6,3,3,0,1,1,0,0,0,0,5,2,3,0.5,1,0,0,0,0,45,4,9,-5,13,9,4,4,0,5,4,-1,-4,134,68,0,60,54,68,0,0,0,2,2,0,4,1,3,1,1,0,32,21,11,22,12,10,43,44,43,62,39,23,26,17,9,36,22,14,81,40,41,2,2,0,5,3,2,-3,-1,-2,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,2.17,3,1.33,0.67,1.33,0,1.5,1.67,1.33,1.17,1.67,0.67,0.33,0.67,0,0.83,1,0.67,6,4,2,1,0,0,3,3,2,1,0,0,3,1,0,0,0,0,0,2,4,5,6,6,0,0,1,2,3,3,0,2,3,3,3,3,100,67,33,17,0,0,100,100,67,33,0,0,100,33,0,0,0,0,0,33,67,83,100,100,0,0,33,67,100,100,0,67,100,100,100,100,4,2,1,2,2,1,2,0,0,67,33,17,67,67,33,67,0,0,17,33,0,44,0,0,0,33,67,0,67,33,100,17,33,0,2,1,1,33,33,33,5,2,3,83,67,100,1,1,0,17,33,0,17,33,0,33,33,33,50,33,67,5.33,7.00,3.67,3.67,4,3.33,100,83,83,67,67,17,17,17,1.21,1.57,0.85,1.60,1.40,1.80,50,0,0,1,0,1,0,0,2,0,2,0,0,3,0,1,1,1,1,0,0,0,83,67,100,17
Switzerland National Team,Switzerland,2024/2025,Switzerland,6,3,3,0,0,0,0,2,2,0,4,1,3,0.33,0.67,0,4,0,0,47,6,14,-8,20,11,9,4,2,7,7,-3,-5,90,68,134,39,39,39,0,0,0,4,3,1,2,0,2,2,2,0,31,20,11,18,8,10,58,64,51,62,39,23,29,16,13,33,23,10,73,35,38,3,3,0,5,3,2,-2,0,-2,1,1,0,2,1,1,3,1,2,0.83,1.33,0.33,3.33,3.67,3,1,1.33,0.67,2.33,2.33,2.33,1.33,2,0.67,0.5,1,0,0.83,1,0.67,6,6,3,3,2,0,3,3,2,2,1,0,3,3,1,1,1,0,0,0,3,3,4,6,0,0,1,1,2,3,0,0,2,2,2,3,100,100,50,50,33,0,100,100,67,67,33,0,100,100,33,33,33,0,0,0,50,50,67,100,0,0,33,33,67,100,0,0,67,67,67,100,4,2,2,2,2,2,2,0,0,67,33,33,67,67,67,67,0,0,0,0,0,0,0,0,0,67,100,33,33,0,67,33,67,0,2,1,1,33,33,33,4,1,3,67,33,100,2,2,0,33,67,0,17,33,0,33,33,33,50,33,67,5.17,6.67,3.67,3,2.67,3.33,100,83,67,67,17,17,0,0,1.35,1.67,1.04,1.43,1.14,1.72,83,0,0,1,0,2,0,1,1,1,1,1,1,1,1,0,3,2,4,33,67,0,67,33,100,0
Serbia National Team,Serbia,2024/2025,Serbia,6,3,3,0,1,1,0,3,2,1,2,0,2,1,1.67,0.33,3,0,0,34,3,6,-3,9,2,7,2,1,0,6,2,-5,180,134,273,90,0,45,3,3,0,1,0,1,4,2,2,1,1,0,20,12,8,22,11,11,37,37,38,54,37,17,22,14,8,32,23,9,76,36,40,1,1,0,2,0,2,-1,1,-2,1,1,0,3,2,1,2,0,2,1,1.67,0.33,1.5,0.67,2.33,0.5,0.67,0.33,1,0,2,0.5,0.33,0.67,0.17,0.33,0,0.33,0,0.67,4,4,1,0,0,0,1,1,0,0,0,0,3,3,1,0,0,0,2,2,5,6,6,6,2,2,3,3,3,3,0,0,2,3,3,3,67,67,17,0,0,0,33,33,0,0,0,0,100,100,33,0,0,0,33,33,83,100,100,100,67,67,100,100,100,100,0,0,67,100,100,100,3,0,0,1,0,0,2,0,0,50,0,0,33,0,0,67,0,0,17,33,0,67,50,100,0,17,0,33,67,67,67,17,33,0,4,3,1,67,100,33,5,2,3,83,67,100,0,0,0,0,0,0,17,33,0,50,67,33,33,0,67,3.33,4.00,2.67,3.67,3.67,3.67,100,100,67,67,33,0,0,0,1.04,1.35,0.74,1.71,1.59,1.83,17,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,2,2,0,50,67,33,33,0,67,0
Andorra National Team,Andorra,2024/2025,Andorra,4,2,2,0,0,0,0,1,0,1,3,2,1,0.25,0,0.5,3,0,0,51,0,4,-4,4,2,2,0,0,2,2,-2,-2,0,0,0,90,90,90,1,0,1,0,0,0,4,2,2,0,0,0,13,4,9,15,6,9,42,41,44,28,14,14,13,9,4,15,5,10,83,35,48,0,0,0,2,1,1,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,1,1,1,0,0,0,1,1,1,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,3,1,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,3,4,4,4,4,0,2,2,2,2,2,1,1,2,2,2,2,75,25,0,0,0,0,100,0,0,0,0,0,50,50,0,0,0,0,25,75,100,100,100,100,0,100,100,100,100,100,50,50,100,100,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,0,0,0,0,25,0,50,0,0,0,100,100,100,0,0,0,2,1,1,50,50,50,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,3.25,2.00,4.50,3.75,3,4.50,50,0,0,0,0,0,0,0,0.94,0.99,0.89,1.20,1.45,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,25,0,50,75,100,50,0
Austria National Team,Austria,2024/2025,Austria,6,3,3,0,3,2,1,2,1,1,1,0,1,1.83,2.33,1.33,0,0,0,18,14,5,9,19,12,7,10,4,2,3,8,1,39,27,68,108,134,90,2,1,1,4,2,2,0,0,0,4,3,1,32,20,12,8,3,5,64,66,61,96,57,39,44,25,19,52,32,20,63,29,34,7,3,4,3,1,2,4,2,2,3,2,1,3,1,2,0,0,0,2,2.33,1.67,3.17,4,2.33,2.33,3.33,1.33,0.83,0.67,1,1.67,1.33,2,1.17,1,1.33,0.5,0.33,0.67,6,6,3,2,1,1,3,3,2,2,1,1,3,3,1,0,0,0,0,0,3,4,5,5,0,0,1,1,2,2,0,0,2,3,3,3,100,100,50,33,17,17,100,100,67,67,33,33,100,100,33,0,0,0,0,0,50,67,83,83,0,0,33,33,67,67,0,0,67,100,100,100,6,4,0,3,1,0,3,3,0,100,67,0,100,33,0,100,100,0,50,67,33,31,33,33,33,67,67,67,0,0,0,67,100,33,3,2,1,50,67,33,0,0,0,0,0,0,3,1,2,50,33,67,50,67,33,50,33,67,0,0,0,5.33,6.67,4.00,1.33,1,1.67,33,33,33,33,33,17,17,17,2.03,2.30,1.76,0.86,0.89,0.83,117,2,1,3,1,1,3,1,2,0,1,1,0,1,0,0,0,1,1,33,33,33,17,0,33,17
