team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
SL Benfica,Benfica,2024/2025,Portugal,33,17,16,0,25,14,11,4,2,2,4,1,3,2.39,2.59,2.19,2,1,2,2,83,27,56,110,64,46,52,31,12,15,40,16,36,29,46,110,127,96,15,9,6,16,8,8,2,0,2,25,13,12,234,131,103,64,28,36,58,59,58,523,298,225,264,150,114,259,148,111,392,201,191,41,25,16,13,8,5,28,17,11,21,12,9,8,3,5,4,2,2,2.15,2.29,2,3.33,3.76,2.88,2.52,3.06,1.94,0.82,0.71,0.94,1.64,1.94,1.31,1.24,1.47,1,0.39,0.47,0.31,33,29,23,13,10,2,17,15,14,9,7,2,16,14,9,4,3,0,0,4,10,20,23,31,0,2,3,8,10,15,0,2,7,12,13,16,100,88,70,39,30,6,100,88,82,53,41,12,100,88,56,25,19,0,0,12,30,61,70,94,0,12,18,47,59,88,0,12,44,75,81,100,28,16,7,15,10,6,13,6,1,85,48,21,88,59,35,81,38,6,76,82,69,17,45,53,38,48,47,50,6,0,13,76,76,75,21,10,11,64,59,69,9,4,5,27,24,31,8,5,3,24,29,19,64,71,56,24,18,31,12,12,13,7.09,7.71,6.44,1.94,1.65,2.25,85,73,61,52,42,33,27,24,2.02,2.21,1.81,1.03,0.90,1.17,79,8,10,14,6,4,9,6,13,13,3,4,2,2,3,1,2,3,7,12,12,13,12,6,19,12
FC Porto,Porto,2024/2025,Portugal,33,16,17,0,21,12,9,5,3,2,7,1,6,2.06,2.44,1.71,3,3,4,3,62,30,32,92,47,45,36,26,11,19,25,7,48,40,59,99,130,80,15,8,7,14,8,6,4,0,4,20,12,8,186,107,79,97,35,62,62,65,59,456,256,200,205,111,94,251,145,106,473,235,238,24,11,13,15,5,10,9,6,3,14,8,6,10,5,5,9,3,6,1.58,1.81,1.35,2.79,2.94,2.65,1.88,2.25,1.53,0.91,0.69,1.12,1.18,1,1.35,0.73,0.69,0.76,0.45,0.31,0.59,33,30,17,9,3,0,16,16,9,5,1,0,17,14,8,4,2,0,0,3,16,24,30,33,0,0,7,11,15,16,0,3,9,13,15,17,100,91,52,27,9,0,100,100,56,31,6,0,100,82,47,24,12,0,0,9,48,73,91,100,0,0,44,69,94,100,0,18,53,76,88,100,26,10,2,12,4,0,14,6,2,79,30,6,75,25,0,82,35,12,64,75,53,22,45,50,41,42,50,35,12,0,24,61,75,47,20,12,8,61,75,47,16,7,9,48,44,53,4,1,3,12,6,18,42,50,35,30,31,29,27,19,35,5.64,6.69,4.65,2.94,2.19,3.65,70,61,52,39,30,21,15,12,1.70,1.93,1.48,0.98,0.95,1.01,67,2,8,6,4,9,12,6,6,9,1,4,1,5,4,4,3,2,6,15,19,12,21,6,35,6
Sporting Clube de Portugal,Sporting CP,2024/2025,Portugal,33,16,17,0,24,13,11,7,2,5,2,1,1,2.39,2.56,2.24,1,2,1,1,86,27,59,113,51,62,38,48,13,14,25,34,34,38,32,110,111,110,14,5,9,18,10,8,2,1,1,28,13,15,205,114,91,75,31,44,61,62,60,536,277,259,253,121,132,283,156,127,374,171,203,40,20,20,15,8,7,25,12,13,21,10,11,7,3,4,5,3,2,2.12,2.06,2.18,3.42,3.19,3.65,2.61,2.38,2.82,0.82,0.81,0.82,1.67,1.75,1.59,1.21,1.25,1.18,0.45,0.5,0.41,32,29,23,15,7,4,16,14,10,8,2,1,16,15,13,7,5,3,1,4,10,18,26,29,0,2,6,8,14,15,1,2,4,10,12,14,97,88,70,45,21,12,100,88,63,50,13,6,94,88,76,41,29,18,3,12,30,55,79,88,0,12,37,50,87,94,6,12,24,59,71,82,28,19,7,15,9,3,13,10,4,85,58,21,94,56,19,76,59,24,73,81,65,-4,42,31,53,55,63,47,6,6,6,85,81,88,21,9,12,64,56,71,8,3,5,24,19,29,9,5,4,27,31,24,64,63,65,21,19,24,15,19,12,6.21,7.13,5.35,2.27,1.94,2.59,79,73,52,45,30,21,12,12,2.00,2.12,1.88,0.99,0.99,0.98,76,8,10,9,6,10,8,9,7,19,2,2,1,5,5,2,2,1,7,21,13,29,6,6,6,9
CD Nacional Funchal,CD Nacional,2024/2025,Portugal,33,17,16,0,9,7,2,7,3,4,17,7,10,1.03,1.41,0.63,13,11,17,13,32,47,-15,79,50,29,23,9,27,20,-4,-11,93,67,161,63,57,72,8,5,3,13,8,5,14,5,9,11,7,4,146,78,68,80,39,41,48,49,47,436,242,194,171,101,70,265,141,124,402,207,195,17,13,4,22,11,11,-5,2,-7,8,6,2,12,6,6,13,5,8,1.09,1.41,0.75,2.39,2.94,1.81,0.97,1.35,0.56,1.42,1.59,1.25,1.18,1.41,0.94,0.52,0.76,0.25,0.67,0.65,0.69,31,23,14,6,2,2,16,14,10,5,2,2,15,9,4,1,0,0,2,10,19,27,31,31,1,3,7,12,15,15,1,7,12,15,16,16,94,70,42,18,6,6,94,82,59,29,12,12,94,56,25,6,0,0,6,30,58,82,94,94,6,18,41,71,88,88,6,44,75,94,100,100,24,10,4,12,7,4,12,3,0,73,30,12,71,41,24,75,19,0,27,41,13,14,24,29,19,39,47,31,42,29,56,33,41,25,16,10,6,48,59,38,20,8,12,61,47,75,6,4,2,18,24,13,24,35,13,36,35,38,39,29,50,4.42,4.59,4.25,2.42,2.29,2.56,94,76,61,52,45,39,24,18,1.45,1.56,1.34,1.56,1.39,1.73,52,2,5,0,4,9,4,0,3,5,6,4,6,2,6,5,4,5,9,21,18,25,52,41,63,9
GD Estoril Praia,GD Estoril Praia,2024/2025,Portugal,33,16,17,0,11,6,5,10,4,6,12,6,6,1.3,1.38,1.24,9,12,7,9,44,53,-9,97,42,55,19,25,23,30,-4,-5,68,76,61,56,63,51,6,4,2,19,9,10,11,5,6,13,8,5,123,60,63,86,44,42,48,47,50,333,157,176,149,69,80,184,88,96,510,262,248,20,10,10,25,11,14,-5,-1,-4,8,5,3,14,8,6,11,3,8,1.15,1.44,0.88,2.94,2.63,3.24,1.33,1.19,1.47,1.61,1.44,1.76,1.36,1.31,1.41,0.61,0.63,0.59,0.76,0.69,0.82,30,26,23,13,4,1,14,12,10,4,2,0,16,14,13,9,2,1,3,7,10,20,29,32,2,4,6,12,14,16,1,3,4,8,15,16,91,79,70,39,12,3,88,75,63,25,13,0,94,82,76,53,12,6,9,21,30,61,88,97,12,25,37,75,87,100,6,18,24,47,88,94,24,16,5,10,8,3,14,8,2,73,48,15,63,50,19,82,47,12,33,38,29,0,18,25,12,58,56,59,33,31,35,39,50,29,13,8,5,39,50,29,20,9,11,61,56,65,9,5,4,27,31,24,24,31,18,42,50,35,33,19,47,3.73,3.75,3.71,2.61,2.75,2.47,76,61,48,36,33,21,12,12,1.22,1.18,1.26,1.41,1.31,1.50,67,3,5,7,2,7,2,5,4,9,5,4,6,5,5,7,7,4,10,30,25,35,36,38,35,9
FC Arouca,FC Arouca,2024/2025,Portugal,33,16,17,0,8,4,4,11,6,5,14,6,8,1.06,1.13,1,12,15,11,12,31,48,-17,79,30,49,12,19,18,30,-6,-11,96,120,80,62,80,51,8,5,3,18,7,11,9,5,4,16,7,9,178,90,88,95,41,54,52,52,52,368,177,191,154,74,80,214,103,111,461,242,219,12,3,9,22,7,15,-10,-4,-6,8,3,5,11,6,5,14,7,7,1.06,0.94,1.18,2.39,1.88,2.88,0.94,0.75,1.12,1.45,1.13,1.76,1.03,0.63,1.41,0.36,0.19,0.53,0.67,0.44,0.88,31,23,15,9,1,0,15,10,4,1,0,0,16,13,11,8,1,0,2,10,18,24,32,33,1,6,12,15,16,16,1,4,6,9,16,17,94,70,45,27,3,0,94,63,25,6,0,0,94,76,65,47,6,0,6,30,55,73,97,100,6,37,75,94,100,100,6,24,35,53,94,100,22,8,4,10,0,0,12,8,4,67,24,12,63,0,0,71,47,24,24,25,24,1,24,31,18,55,44,65,27,31,24,48,44,53,17,9,8,52,56,47,23,13,10,70,81,59,4,0,4,12,0,24,24,19,29,33,38,29,42,44,41,5.39,5.63,5.18,2.88,2.56,3.18,85,79,67,57,48,39,24,21,1.31,1.31,1.31,1.43,1.26,1.59,55,4,1,4,0,3,3,5,5,6,2,8,2,4,7,6,4,9,6,33,38,29,42,38,47,18
Rio Ave FC,Rio Ave FC,2024/2025,Portugal,33,16,17,0,9,6,3,10,7,3,14,3,11,1.12,1.56,0.71,11,10,14,11,38,54,-16,92,47,45,24,14,23,31,1,-17,78,60,110,55,63,49,5,3,2,18,11,7,10,2,8,15,10,5,137,79,58,85,39,46,48,47,48,345,189,156,153,86,67,192,103,89,448,225,223,18,12,6,26,9,17,-8,3,-11,10,7,3,10,5,5,13,4,9,1.21,1.63,0.82,2.79,2.94,2.65,1.15,1.5,0.82,1.64,1.44,1.82,1.33,1.31,1.35,0.55,0.75,0.35,0.79,0.56,1,33,27,17,10,4,1,16,14,9,6,2,0,17,13,8,4,2,1,0,6,16,23,29,32,0,2,7,10,14,16,0,4,9,13,15,16,100,82,52,30,12,3,100,88,56,38,13,0,100,76,47,24,12,6,0,18,48,70,88,97,0,12,44,62,87,100,0,24,53,76,88,94,27,12,4,14,5,1,13,7,3,82,36,12,88,31,6,76,41,18,27,38,18,21,15,19,12,55,69,41,30,13,47,45,63,29,16,9,7,48,56,41,19,6,13,58,38,76,4,3,1,12,19,6,30,44,18,30,31,29,39,25,53,4.15,4.94,3.41,2.58,2.44,2.71,79,73,57,45,36,21,18,18,1.24,1.39,1.11,1.72,1.64,1.80,52,5,1,6,4,3,3,3,7,6,5,5,6,8,4,6,6,6,8,30,44,18,42,19,65,15
Sporting Braga,Sporting Braga,2024/2025,Portugal,33,16,17,0,19,9,10,8,4,4,6,3,3,1.97,1.94,2,4,6,3,4,54,29,25,83,50,33,32,22,18,11,14,11,55,45,70,102,80,138,15,6,9,17,9,8,3,1,2,22,12,10,202,113,89,68,30,38,58,58,58,418,216,202,192,103,89,226,113,113,465,231,234,26,18,8,10,4,6,16,14,2,15,11,4,12,3,9,6,2,4,1.73,2.25,1.24,2.52,3.13,1.94,1.64,2,1.29,0.88,1.13,0.65,1.09,1.38,0.82,0.79,1.13,0.47,0.3,0.25,0.35,31,25,16,6,3,2,16,14,9,6,3,2,15,11,7,0,0,0,2,8,17,27,30,31,0,2,7,10,13,14,2,6,10,17,17,17,94,76,48,18,9,6,100,88,56,38,19,13,88,65,41,0,0,0,6,24,52,82,91,94,0,12,44,62,81,87,12,35,59,100,100,100,24,10,1,14,6,1,10,4,0,73,30,3,88,38,6,59,24,0,58,56,59,-3,45,38,53,52,56,47,9,6,12,67,75,59,23,12,11,70,75,65,15,4,11,45,25,65,4,2,2,12,13,12,45,69,24,36,19,53,18,13,24,6.12,7.06,5.24,2.06,1.88,2.24,79,73,67,55,39,30,24,15,1.60,1.72,1.49,1.20,1.10,1.29,42,4,7,2,8,6,6,7,5,9,4,1,0,1,4,6,5,3,5,24,25,24,18,19,18,12
Moreirense FC,Moreirense FC,2024/2025,Portugal,33,17,16,0,9,6,3,10,8,2,14,3,11,1.12,1.53,0.69,10,8,16,10,39,50,-11,89,43,46,22,17,21,29,1,-12,76,70,85,59,73,50,6,4,2,21,11,10,8,4,4,15,9,6,100,52,48,84,46,38,47,47,47,332,184,148,155,82,73,177,102,75,482,270,212,18,12,6,18,6,12,0,6,-6,9,6,3,16,9,7,8,2,6,1.3,1.59,1,2.7,2.53,2.88,1.18,1.29,1.06,1.52,1.24,1.81,1.09,1.06,1.13,0.55,0.71,0.38,0.55,0.35,0.75,31,25,17,12,4,0,15,13,8,5,2,0,16,12,9,7,2,0,2,8,16,21,29,33,2,4,9,12,15,17,0,4,7,9,14,16,94,76,52,36,12,0,88,76,47,29,12,0,100,75,56,44,13,0,6,24,48,64,88,100,12,24,53,71,88,100,0,25,44,56,87,100,20,10,5,10,5,3,10,5,2,61,30,15,59,29,18,63,31,13,27,35,19,14,18,24,13,64,65,63,24,24,25,45,53,38,20,11,9,61,65,56,19,9,10,58,53,63,7,4,3,21,24,19,27,35,19,48,53,44,24,12,38,3.03,3.06,3.00,2.55,2.71,2.38,79,57,48,27,21,15,3,0,1.20,1.27,1.13,1.45,1.34,1.56,52,5,4,2,6,3,4,5,4,6,3,5,4,2,8,7,7,7,7,30,47,13,42,18,69,0
Vitória Guimarães SC,Vitória Guimarães,2024/2025,Portugal,33,17,16,0,14,9,5,12,5,7,7,3,4,1.64,1.88,1.38,5,4,5,5,47,35,12,82,48,34,29,18,19,16,10,2,63,53,80,85,80,90,13,9,4,14,6,8,8,3,5,16,11,5,228,134,94,85,44,41,57,57,57,424,235,189,186,100,86,238,135,103,477,230,247,17,13,4,14,6,8,3,7,-4,9,7,2,16,7,9,8,3,5,1.3,1.65,0.94,2.48,2.82,2.13,1.42,1.71,1.13,1.06,1.12,1,0.94,1.12,0.75,0.52,0.76,0.25,0.42,0.35,0.5,31,22,16,9,1,1,16,13,10,5,1,1,15,9,6,4,0,0,2,11,17,24,32,32,1,4,7,12,16,16,1,7,10,12,16,16,94,67,48,27,3,3,94,76,59,29,6,6,94,56,38,25,0,0,6,33,52,73,97,97,6,24,41,71,94,94,6,44,62,75,100,100,21,8,2,12,5,2,9,3,0,64,24,6,71,29,12,56,19,0,42,53,31,7,39,53,25,42,35,50,24,18,31,48,65,31,21,12,9,64,71,56,19,7,12,58,41,75,5,3,2,15,18,13,27,41,13,48,41,56,24,18,31,6.91,7.88,5.88,2.58,2.59,2.56,94,85,79,67,52,36,30,18,1.57,1.67,1.47,1.10,1.07,1.14,36,4,4,1,5,10,7,5,4,7,4,2,2,4,4,3,1,6,9,36,29,44,21,18,25,15
