team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Adanaspor AŞ,Adanaspor,2024/2025,Turkey,37,18,19,0,7,4,3,9,5,4,21,9,12,0.81,0.94,0.68,19,19,19,19,32,68,-36,100,51,49,18,14,33,35,-15,-21,105,90,122,49,49,49,8,3,5,16,10,6,18,7,11,8,4,4,140,75,65,101,41,60,46,51,42,352,194,158,157,77,80,195,117,78,456,209,247,12,4,8,30,14,16,-18,-10,-8,6,3,3,14,6,8,17,9,8,0.86,0.83,0.89,2.7,2.83,2.58,0.86,1,0.74,1.84,1.83,1.84,1.14,1,1.26,0.32,0.22,0.42,0.81,0.78,0.84,32,27,18,11,6,3,16,15,9,5,4,1,16,12,9,6,2,2,5,10,19,26,31,34,2,3,9,13,14,17,3,7,10,13,17,17,86,73,49,30,16,8,89,83,50,28,22,6,84,63,47,32,11,11,14,27,51,70,84,92,11,17,50,72,78,94,16,37,53,68,89,89,24,11,5,12,4,2,12,7,3,65,30,14,67,22,11,63,37,16,19,22,16,9,22,17,26,43,56,32,49,39,58,22,22,21,19,9,10,51,50,53,27,14,13,73,78,68,4,1,3,11,6,16,16,17,16,38,33,42,46,50,42,3.78,4.17,3.42,2.73,2.28,3.16,73,65,54,41,38,30,19,11,1.17,1.36,0.99,1.70,1.52,1.87,78,2,3,0,2,7,2,6,2,8,2,8,9,7,6,11,5,6,14,24,28,21,57,50,63,5
Gençlerbirliği,Gençlerbirliği,2024/2025,Turkey,37,19,18,0,18,12,6,11,4,7,8,3,5,1.76,2.11,1.39,2,2,5,2,52,34,18,86,37,49,26,26,11,23,15,3,64,66,63,98,155,70,17,10,7,15,7,8,8,2,6,21,11,10,178,101,77,81,42,39,50,54,46,458,256,202,196,102,94,262,154,108,471,240,231,24,11,13,16,8,8,8,3,5,12,6,6,16,7,9,9,6,3,1.41,1.32,1.5,2.32,1.95,2.72,1.41,1.37,1.44,0.92,0.58,1.28,1.08,1,1.17,0.65,0.58,0.72,0.43,0.42,0.44,34,24,16,6,4,2,19,12,6,0,0,0,15,12,10,6,4,2,3,13,21,31,33,35,0,7,13,19,19,19,3,6,8,12,14,16,92,65,43,16,11,5,100,63,32,0,0,0,83,67,56,33,22,11,8,35,57,84,89,95,0,37,68,100,100,100,17,33,44,67,78,89,25,10,4,14,4,1,11,6,3,68,27,11,74,21,5,61,33,17,49,63,33,17,46,53,39,41,37,44,22,11,33,57,58,56,22,11,11,59,58,61,21,11,10,57,58,56,6,2,4,16,11,22,32,32,33,43,37,50,24,32,17,4.81,5.32,4.28,2.19,2.21,2.17,78,62,51,41,32,24,14,11,1.54,1.70,1.38,1.20,1.06,1.33,62,5,2,6,6,9,4,5,6,9,2,2,5,4,4,6,5,4,2,30,21,39,22,16,28,5
Ümraniyespor,Ümraniyespor,2024/2025,Turkey,37,18,19,0,14,8,6,11,8,3,12,2,10,1.43,1.78,1.11,11,11,12,11,48,41,7,89,43,46,28,20,15,26,13,-6,69,58,86,81,108,66,14,8,6,15,9,6,12,4,8,21,13,8,169,84,85,91,42,49,50,50,49,378,194,184,185,95,90,193,99,94,508,257,251,22,14,8,15,4,11,7,10,-3,13,9,4,15,8,7,9,1,8,1.46,1.94,1,2.41,2.39,2.42,1.3,1.56,1.05,1.11,0.83,1.37,1,1,1,0.59,0.78,0.42,0.41,0.22,0.58,33,25,17,8,3,2,15,12,8,3,2,2,18,13,9,5,1,0,4,12,20,29,34,35,3,6,10,15,16,16,1,6,10,14,18,19,89,68,46,22,8,5,83,67,44,17,11,11,95,68,47,26,5,0,11,32,54,78,92,95,17,33,56,83,89,89,5,32,53,74,95,100,24,10,2,12,4,1,12,6,1,65,27,5,67,22,6,63,32,5,38,44,32,23,38,44,32,41,50,32,32,22,42,57,72,42,25,14,11,68,78,58,22,7,15,59,39,79,3,3,0,8,17,0,35,50,21,41,44,37,24,6,42,4.57,4.67,4.47,2.46,2.33,2.58,78,56,51,38,30,14,8,8,1.32,1.42,1.22,1.51,1.24,1.78,49,5,5,8,2,4,6,6,4,8,6,2,1,1,8,3,5,2,13,30,44,16,32,11,53,5
Yeni Malatyaspor,Yeni Malatyaspor,2024/2025,Turkey,37,18,19,0,0,0,0,0,0,0,37,18,19,0,0,0,20,20,20,20,14,148,-134,162,77,85,8,6,69,79,-61,-73,237,205,281,23,23,22,0,0,0,12,6,6,25,12,13,2,1,1,43,27,16,85,38,47,34,37,32,161,84,77,74,39,35,87,45,42,402,180,222,6,2,4,68,33,35,-62,-31,-31,1,0,1,3,1,2,32,16,16,0.17,0.06,0.26,4.38,4.28,4.47,0.38,0.44,0.32,4,3.83,4.16,2.06,2.06,2.05,0.17,0.12,0.21,1.89,1.94,1.84,37,35,30,22,15,10,18,16,14,12,8,5,19,19,16,10,7,5,0,2,7,15,22,27,0,2,4,6,10,13,0,0,3,9,12,14,100,95,81,59,41,27,100,89,78,67,44,28,100,100,84,53,37,26,0,5,19,41,59,73,0,11,22,33,56,72,0,0,16,47,63,74,33,23,13,16,13,6,17,10,7,92,64,36,94,76,35,89,53,37,0,0,0,10,0,0,0,32,33,32,68,67,68,5,6,5,4,1,3,11,6,16,30,15,15,83,88,79,5,2,3,14,12,16,3,0,5,8,6,11,89,94,84,1.23,1.69,0.84,2.36,2.24,2.47,89,77,56,43,26,17,9,6,0.66,0.77,0.57,2.13,2.14,2.12,151,1,2,1,1,1,0,0,0,8,15,15,14,13,20,18,12,17,21,0,0,0,100,100,100,3
Boluspor,Boluspor,2024/2025,Turkey,37,19,18,0,16,10,6,10,4,6,11,5,6,1.57,1.79,1.33,8,7,7,8,59,40,19,99,49,50,33,26,16,24,17,2,57,52,63,83,107,68,12,9,3,19,8,11,9,5,4,21,11,10,148,74,74,75,34,41,50,54,47,416,218,198,216,121,95,200,97,103,426,212,214,30,14,16,18,6,12,12,8,4,16,9,7,12,6,6,9,4,5,1.62,1.74,1.5,2.68,2.58,2.78,1.59,1.74,1.44,1.08,0.84,1.33,1.3,1.05,1.56,0.81,0.74,0.89,0.49,0.32,0.67,34,26,15,10,5,3,16,12,8,5,2,1,18,14,7,5,3,2,3,11,22,27,32,34,3,7,11,14,17,18,0,4,11,13,15,16,92,70,41,27,14,8,84,63,42,26,11,5,100,78,39,28,17,11,8,30,59,73,86,92,16,37,58,74,89,95,0,22,61,72,83,89,27,12,7,13,4,2,14,8,5,73,32,19,68,21,11,78,44,28,43,53,33,16,32,47,17,51,42,61,24,26,22,57,58,56,21,14,7,57,74,39,17,9,8,46,47,44,9,2,7,24,11,39,43,47,39,32,32,33,24,21,28,4.00,3.89,4.11,2.03,1.79,2.28,68,51,41,32,19,14,5,0,1.42,1.47,1.38,1.37,1.22,1.51,70,4,10,4,9,3,4,4,10,11,2,5,3,2,10,5,4,3,6,27,21,33,30,26,33,0
Şanlıurfaspor,Şanlıurfaspor,2024/2025,Turkey,37,18,19,0,11,7,4,7,3,4,19,8,11,1.08,1.33,0.84,18,16,16,18,45,54,-9,99,49,50,24,21,25,29,-1,-8,74,68,81,62,65,59,7,4,3,19,9,10,14,7,7,13,7,6,141,72,69,76,30,46,47,52,42,369,200,169,158,84,74,211,116,95,400,198,202,21,9,12,18,8,10,3,1,2,8,2,6,21,14,7,8,2,6,1.22,1.11,1.32,2.68,2.72,2.63,1.22,1.33,1.11,1.46,1.39,1.53,1.05,0.94,1.16,0.57,0.5,0.63,0.49,0.44,0.53,34,26,19,12,7,1,16,12,10,7,3,1,18,14,9,5,4,0,3,11,18,25,30,36,2,6,8,11,15,17,1,5,10,14,15,19,92,70,51,32,19,3,89,67,56,39,17,6,95,74,47,26,21,0,8,30,49,68,81,97,11,33,44,61,83,94,5,26,53,74,79,100,22,12,4,8,6,2,14,6,2,59,32,11,44,33,11,74,32,11,30,39,21,7,19,22,16,51,50,53,38,39,37,35,39,32,21,11,10,57,61,53,23,12,11,62,67,58,8,5,3,22,28,16,22,11,32,57,78,37,22,11,32,3.81,4.00,3.63,2.05,1.67,2.42,70,59,49,32,27,19,14,11,1.23,1.39,1.08,1.51,1.36,1.66,73,4,4,3,4,7,5,6,6,6,1,4,5,4,9,10,5,9,7,19,17,21,51,44,58,0
Bandırmaspor,Bandırmaspor,2024/2025,Turkey,37,18,19,0,16,11,5,13,4,9,8,3,5,1.65,2.06,1.26,6,4,9,6,50,44,6,94,46,48,29,21,17,27,12,-6,67,56,81,76,96,63,13,9,4,20,8,12,7,2,5,17,11,6,193,100,93,102,57,45,49,50,48,417,208,209,207,106,101,210,102,108,439,226,213,24,12,12,24,11,13,0,1,-1,12,7,5,16,7,9,9,4,5,1.41,1.56,1.26,2.54,2.56,2.53,1.35,1.61,1.11,1.19,0.94,1.42,1.3,1.28,1.32,0.65,0.67,0.63,0.65,0.61,0.68,34,27,16,12,5,0,17,12,7,6,4,0,17,15,9,6,1,0,3,10,21,25,32,37,1,6,11,12,14,18,2,4,10,13,18,19,92,73,43,32,14,0,94,67,39,33,22,0,89,79,47,32,5,0,8,27,57,68,86,100,6,33,61,67,78,100,11,21,53,68,95,100,28,12,6,14,5,3,14,7,3,76,32,16,78,28,17,74,37,16,43,61,26,20,35,50,21,54,44,63,19,11,26,46,61,32,20,11,9,54,61,47,16,7,9,43,39,47,10,4,6,27,22,32,32,39,26,43,39,47,24,22,26,5.22,5.56,4.89,2.76,3.17,2.37,78,70,65,54,43,38,24,11,1.45,1.57,1.33,1.38,1.21,1.56,62,5,2,5,4,9,5,7,3,10,8,4,3,7,2,4,3,4,9,35,22,47,22,17,26,11
İstanbulspor AŞ,İstanbulspor,2024/2025,Turkey,37,18,19,0,19,13,6,4,2,2,14,3,11,1.65,2.28,1.05,4,1,15,4,64,38,26,102,56,46,43,21,13,25,30,-4,52,38,81,87,125,68,16,12,4,14,4,10,9,4,5,20,12,8,199,85,114,75,28,47,53,53,54,469,243,226,230,132,98,239,111,128,453,229,224,28,20,8,19,7,12,9,13,-4,14,9,5,13,7,6,10,2,8,1.49,1.89,1.11,2.76,3.11,2.42,1.73,2.39,1.11,1.03,0.72,1.32,1.27,1.5,1.05,0.76,1.11,0.42,0.51,0.39,0.63,35,27,22,10,6,1,16,14,12,7,5,1,19,13,10,3,1,0,2,10,15,27,31,36,2,4,6,11,13,17,0,6,9,16,18,19,95,73,59,27,16,3,89,78,67,39,28,6,100,68,53,16,5,0,5,27,41,73,84,97,11,22,33,61,72,94,0,32,47,84,95,100,27,15,4,12,10,4,15,5,0,73,41,11,67,56,22,79,26,0,51,72,32,34,43,67,21,38,22,53,24,22,26,54,67,42,22,13,9,59,72,47,19,7,12,51,39,63,6,4,2,16,22,11,38,50,26,35,39,32,27,11,42,5.38,4.72,6.00,2.03,1.56,2.47,84,65,59,49,32,27,19,8,1.67,1.74,1.59,1.37,1.24,1.50,54,3,6,11,4,8,5,9,7,11,2,3,8,4,2,2,2,4,11,11,11,11,38,17,58,5
MKE Ankaragücü,Ankaragücü,2024/2025,Turkey,37,18,19,0,13,9,4,6,3,3,18,6,12,1.22,1.67,0.79,16,13,18,16,47,48,-1,95,46,49,27,20,19,29,8,-9,71,60,86,69,85,59,9,7,2,16,6,10,13,6,7,17,10,7,172,96,76,85,36,49,54,55,53,456,227,229,204,103,101,252,124,128,433,211,222,19,10,9,26,10,16,-7,0,-7,9,6,3,14,7,7,14,5,9,1.11,1.39,0.84,2.57,2.56,2.58,1.27,1.5,1.05,1.3,1.06,1.53,1.22,1.11,1.32,0.51,0.56,0.47,0.7,0.56,0.84,36,26,19,9,4,1,17,13,10,4,1,1,19,13,9,5,3,0,1,11,18,28,33,36,1,5,8,14,17,17,0,6,10,14,16,19,97,70,51,24,11,3,94,72,56,22,6,6,100,68,47,26,16,0,3,30,49,76,89,97,6,28,44,78,94,94,0,32,53,74,84,100,26,13,6,12,5,3,14,8,3,70,35,16,67,28,17,74,42,16,35,50,21,18,24,39,11,43,33,53,35,33,37,46,56,37,18,11,7,49,61,37,22,10,12,59,56,63,8,3,5,22,17,26,24,33,16,38,39,37,38,28,47,4.65,5.33,4.00,2.3,2,2.58,78,65,51,32,24,14,8,8,1.52,1.58,1.47,1.27,1.24,1.31,51,6,2,4,5,2,8,5,4,11,2,6,6,8,5,6,7,2,6,16,17,16,49,33,63,3
BB Erzurumspor,BB Erzurumspor,2024/2025,Turkey,37,19,18,0,18,10,8,7,4,3,12,5,7,1.65,1.79,1.5,5,8,4,5,52,31,21,83,40,43,26,26,14,17,12,9,64,66,63,107,122,96,18,12,6,13,6,7,11,3,8,21,12,9,162,81,81,100,60,40,50,51,49,404,229,175,191,108,83,213,121,92,581,300,281,22,10,12,9,6,3,13,4,9,14,7,7,18,9,9,5,3,2,1.62,1.58,1.67,2.24,2.11,2.39,1.41,1.37,1.44,0.84,0.74,0.94,0.84,0.84,0.83,0.59,0.53,0.67,0.24,0.32,0.17,32,22,15,7,4,2,17,12,6,3,1,1,15,10,9,4,3,1,5,15,22,30,33,35,2,7,13,16,18,18,3,8,9,14,15,17,86,59,41,19,11,5,89,63,32,16,5,5,83,56,50,22,17,6,14,41,59,81,89,95,11,37,68,84,95,95,17,44,50,78,83,94,21,8,2,11,4,1,10,4,1,57,22,5,58,21,5,56,22,6,49,53,44,5,49,63,33,35,32,39,30,16,44,57,63,50,29,14,15,78,74,83,21,11,10,57,58,56,3,2,1,8,11,6,38,37,39,49,47,50,14,16,11,4.38,4.26,4.50,2.7,3.16,2.22,73,51,46,41,30,14,8,5,1.33,1.49,1.16,1.15,0.96,1.37,38,5,6,4,6,3,4,8,5,11,2,2,3,0,3,6,4,4,7,19,21,17,32,26,39,3
